Trial,Concentration,soil_well,plate_unique,plate_id,plate_well,rfu
,,,plate_4,RFP_2_plate_1,H12,3.233
Bio_1,dil_10^-1,B3,plate_5,RFP_3_plate_1,A1,19.901
,,,plate_5,RFP_3_plate_1,A2,222.469
,,,plate_5,RFP_3_plate_1,A3,363.746
,,,plate_5,RFP_3_plate_1,A4,333.996
,,,plate_5,RFP_3_plate_1,A5,372.474
,,,plate_5,RFP_3_plate_1,A6,416.908
,,,plate_5,RFP_3_plate_1,A7,393.045
,,,plate_5,RFP_3_plate_1,A8,3.86
,,,plate_5,RFP_3_plate_1,A9,3.377
,,,plate_5,RFP_3_plate_1,A10,3.503
,,,plate_5,RFP_3_plate_1,A11,3.582
,,,plate_5,RFP_3_plate_1,A12,3.556
,,,plate_5,RFP_3_plate_1,B1,17.313
,,,plate_5,RFP_3_plate_1,B2,336.379
,,,plate_5,RFP_3_plate_1,B3,335.837
,,,plate_5,RFP_3_plate_1,B4,303.906
,,,plate_5,RFP_3_plate_1,B5,378.515
,,,plate_5,RFP_3_plate_1,B6,418.697
,,,plate_5,RFP_3_plate_1,B7,319.675
