plate_unique,plate_id,plate_well,rfu
plate_4,RFP_2_plate_1,C10,2.472
plate_4,RFP_2_plate_1,C11,2.881
plate_4,RFP_2_plate_1,C12,3.566
plate_4,RFP_2_plate_1,D1,15.639
plate_4,RFP_2_plate_1,D2,10.144
plate_4,RFP_2_plate_1,D3,3.404
plate_4,RFP_2_plate_1,D4,2.855
plate_4,RFP_2_plate_1,D5,2.82
plate_4,RFP_2_plate_1,D6,2.705
plate_4,RFP_2_plate_1,D7,2.586
plate_4,RFP_2_plate_1,D8,3.319
plate_4,RFP_2_plate_1,D9,3.065
plate_4,RFP_2_plate_1,D10,2.989
plate_4,RFP_2_plate_1,D11,3.066
plate_4,RFP_2_plate_1,D12,3.906
plate_4,RFP_2_plate_1,E1,16.666
plate_4,RFP_2_plate_1,E2,11.325
plate_4,RFP_2_plate_1,E3,3.79
plate_4,RFP_2_plate_1,E4,3.035
plate_4,RFP_2_plate_1,E5,3.449
plate_4,RFP_2_plate_1,E6,3.092
plate_4,RFP_2_plate_1,E7,3.684
plate_4,RFP_2_plate_1,E8,2.943
plate_4,RFP_2_plate_1,E9,3.434
plate_4,RFP_2_plate_1,E10,2.908
plate_4,RFP_2_plate_1,E11,2.933
plate_4,RFP_2_plate_1,E12,3.28
plate_4,RFP_2_plate_1,F1,17.859
plate_4,RFP_2_plate_1,F2,12.441
plate_4,RFP_2_plate_1,F3,3.625
plate_4,RFP_2_plate_1,F4,3.018
plate_4,RFP_2_plate_1,F5,3.242
plate_4,RFP_2_plate_1,F6,3.356
plate_4,RFP_2_plate_1,F7,2.725
plate_4,RFP_2_plate_1,F8,3.459
plate_4,RFP_2_plate_1,F9,2.554
plate_4,RFP_2_plate_1,F10,2.963
plate_4,RFP_2_plate_1,F11,2.996
plate_4,RFP_2_plate_1,F12,3.713
plate_4,RFP_2_plate_1,G1,22.811
plate_4,RFP_2_plate_1,G2,12.436
plate_4,RFP_2_plate_1,G3,3.962
plate_4,RFP_2_plate_1,G4,3.436
plate_4,RFP_2_plate_1,G5,3.008
plate_4,RFP_2_plate_1,G6,3.138
plate_4,RFP_2_plate_1,G7,2.902
plate_4,RFP_2_plate_1,G8,3.346
plate_4,RFP_2_plate_1,G9,3.327
plate_4,RFP_2_plate_1,G10,3.025
plate_4,RFP_2_plate_1,G11,2.866
plate_4,RFP_2_plate_1,G12,3.415
plate_4,RFP_2_plate_1,H1,26.757
plate_4,RFP_2_plate_1,H2,12.279
plate_4,RFP_2_plate_1,H3,4.201
plate_4,RFP_2_plate_1,H4,2.781
plate_4,RFP_2_plate_1,H5,2.909
plate_4,RFP_2_plate_1,H6,3.087
plate_4,RFP_2_plate_1,H7,2.74
plate_4,RFP_2_plate_1,H8,2.874
plate_4,RFP_2_plate_1,H9,3.081
plate_4,RFP_2_plate_1,H10,2.99
plate_4,RFP_2_plate_1,H11,2.908
plate_4,RFP_2_plate_1,H12,3.395
plate_5,RFP_3_plate_1,A1,16.397
plate_5,RFP_3_plate_1,A2,6.624
plate_5,RFP_3_plate_1,A3,4.341
plate_5,RFP_3_plate_1,A4,4.046
plate_5,RFP_3_plate_1,A5,3.937
plate_5,RFP_3_plate_1,A6,4.005
plate_5,RFP_3_plate_1,A7,3.537
plate_5,RFP_3_plate_1,A8,4.787
plate_5,RFP_3_plate_1,A9,4.206
plate_5,RFP_3_plate_1,A10,3.47
plate_5,RFP_3_plate_1,A11,4.471
plate_5,RFP_3_plate_1,A12,4.919
plate_5,RFP_3_plate_1,B1,15.635
plate_5,RFP_3_plate_1,B2,5.967
plate_5,RFP_3_plate_1,B3,4.011
plate_5,RFP_3_plate_1,B4,4.088
plate_5,RFP_3_plate_1,B5,4.171
plate_5,RFP_3_plate_1,B6,4.604
plate_5,RFP_3_plate_1,B7,4.311
plate_5,RFP_3_plate_1,B8,4.239
plate_5,RFP_3_plate_1,B9,4.236
plate_5,RFP_3_plate_1,B10,4.158
plate_5,RFP_3_plate_1,B11,3.59
plate_5,RFP_3_plate_1,B12,4.297
plate_5,RFP_3_plate_1,C1,20.744
plate_5,RFP_3_plate_1,C2,7.892
plate_5,RFP_3_plate_1,C3,4.658
plate_5,RFP_3_plate_1,C4,4.859
plate_5,RFP_3_plate_1,C5,4.196
plate_5,RFP_3_plate_1,C6,3.97
plate_5,RFP_3_plate_1,C7,4.298
plate_5,RFP_3_plate_1,C8,4.634
plate_5,RFP_3_plate_1,C9,4.643
plate_5,RFP_3_plate_1,C10,4.694
plate_5,RFP_3_plate_1,C11,4.488
plate_5,RFP_3_plate_1,C12,3.999
plate_5,RFP_3_plate_1,D1,22.192
plate_5,RFP_3_plate_1,D2,7.41
plate_5,RFP_3_plate_1,D3,4.925
plate_5,RFP_3_plate_1,D4,4.641
plate_5,RFP_3_plate_1,D5,4.062
plate_5,RFP_3_plate_1,D6,4.754
plate_5,RFP_3_plate_1,D7,4.413
plate_5,RFP_3_plate_1,D8,4.835
plate_5,RFP_3_plate_1,D9,4.214
plate_5,RFP_3_plate_1,D10,4.26
plate_5,RFP_3_plate_1,D11,3.774
plate_5,RFP_3_plate_1,D12,4.287
plate_5,RFP_3_plate_1,E1,19.666
plate_5,RFP_3_plate_1,E2,7.902
plate_5,RFP_3_plate_1,E3,4.703
plate_5,RFP_3_plate_1,E4,4.171
plate_5,RFP_3_plate_1,E5,4.109
plate_5,RFP_3_plate_1,E6,3.944
plate_5,RFP_3_plate_1,E7,4.007
plate_5,RFP_3_plate_1,E8,4.606
plate_5,RFP_3_plate_1,E9,4.69
plate_5,RFP_3_plate_1,E10,4.051
plate_5,RFP_3_plate_1,E11,4.205
plate_5,RFP_3_plate_1,E12,4.918
plate_5,RFP_3_plate_1,F1,21.261
plate_5,RFP_3_plate_1,F2,8.104
plate_5,RFP_3_plate_1,F3,3.779
plate_5,RFP_3_plate_1,F4,4.679
plate_5,RFP_3_plate_1,F5,3.791
plate_5,RFP_3_plate_1,F6,4.088
plate_5,RFP_3_plate_1,F7,4.506
plate_5,RFP_3_plate_1,F8,4.739
plate_5,RFP_3_plate_1,F9,4.779
plate_5,RFP_3_plate_1,F10,3.794
plate_5,RFP_3_plate_1,F11,4.357
plate_5,RFP_3_plate_1,F12,4.351
plate_5,RFP_3_plate_1,G1,19.662
plate_5,RFP_3_plate_1,G2,7.762
plate_5,RFP_3_plate_1,G3,3.73
plate_5,RFP_3_plate_1,G4,4.29
plate_5,RFP_3_plate_1,G5,4.454
plate_5,RFP_3_plate_1,G6,3.642
plate_5,RFP_3_plate_1,G7,3.908
plate_5,RFP_3_plate_1,G8,4.783
plate_5,RFP_3_plate_1,G9,4.692
plate_5,RFP_3_plate_1,G10,3.574
plate_5,RFP_3_plate_1,G11,3.746
plate_5,RFP_3_plate_1,G12,5.068
plate_5,RFP_3_plate_1,H1,20.571
plate_5,RFP_3_plate_1,H2,8.523
plate_5,RFP_3_plate_1,H3,4.009
plate_5,RFP_3_plate_1,H4,4.579
plate_5,RFP_3_plate_1,H5,3.884
plate_5,RFP_3_plate_1,H6,3.984
